Timestamp,X_Position_Feet,Y_Position_Feet
0.000000,-3.851884,0.952615
0.186387,-3.851884,0.952615
0.388584,-3.851884,0.952615
0.585158,-3.851998,0.952373
0.793301,-3.853822,0.951994
0.987635,-3.856274,0.951333
1.191933,-3.858915,0.958105
1.403302,-3.896815,1.097366
1.596791,-3.939542,1.253711
1.790062,-3.977228,1.389399
1.991288,-3.984743,1.417055
2.205188,-3.984355,1.415472
2.417609,-3.984002,1.415913
2.652532,-3.983582,1.417246
2.859766,-4.019827,1.484639
3.072217,-4.099974,1.638967
3.281603,-4.182082,1.799029
3.495310,-4.206452,1.845103
3.715317,-4.207014,1.844288
3.939030,-4.206482,1.844327
4.171920,-4.206155,1.845001
4.393784,-4.212927,1.853749
4.632967,-4.211938,1.851880
4.875513,-4.210733,1.852235
5.113657,-4.249275,1.885873
5.319459,-4.260011,1.896186
5.549964,-4.171659,1.817027
5.795611,-4.131006,1.780865
6.027221,-4.202900,1.843140
6.260086,-4.281309,1.914554
6.490204,-4.219820,1.857950
6.719578,-4.203789,1.845314
6.943508,-4.203820,1.844086
7.196250,-4.203001,1.840726
7.450497,-4.236126,1.881899
7.687726,-4.281114,1.938825
7.945132,-4.222303,1.862492
8.191763,-4.132358,1.748726
8.424612,-4.099446,1.704757
8.684855,-4.192946,1.822376
8.931604,-4.290871,1.945583
9.176059,-4.230253,1.867800
9.405324,-4.159938,1.778610
9.668093,-4.141968,1.755384
9.918645,-4.140822,1.753170
10.174948,-4.140191,1.752749
